applicant_id,is_credible,credit_score,experience_years,criminal_record
142,1,819,4,0
143,1,431,4,0
144,1,705,9,0
145,1,873,6,0
146,1,588,8,1
147,0,351,9,0
148,1,511,4,0
149,1,455,6,0
150,1,380,8,0
151,0,817,8,0
152,1,763,10,0
153,1,126,7,0
154,1,788,8,0
155,1,100,1,0
156,1,330,5,0
157,1,636,10,0
158,0,276,1,0
159,1,187,2,0
160,1,691,6,0
161,1,451,6,0
162,0,352,5,0
163,1,381,2,0
164,1,435,7,0
165,1,333,9,0
166,1,510,7,0
167,1,450,5,0
168,0,125,1,0
169,1,823,2,0
170,1,910,4,0
171,1,545,7,0
172,1,452,10,0
173,1,321,3,0
174,1,486,2,0
175,1,208,9,0
176,1,105,5,1
177,1,939,1,0
178,1,385,1,1
179,1,652,4,1
180,1,496,6,0
181,1,106,7,0
182,1,615,6,0
183,0,442,9,1
184,1,965,3,1
185,1,982,6,0
186,1,722,9,0
187,1,362,1,1
188,0,912,4,0
189,1,744,6,0
190,1,293,10,0
191,1,376,4,0
192,1,763,4,0
193,1,848,1,0
194,1,479,5,0
195,1,472,4,0
196,1,836,1,0
197,1,520,8,0
198,1,381,7,0
199,1,651,6,0
200,1,536,9,0
201,1,321,10,0
202,1,758,7,0
203,1,699,2,0
204,1,502,6,0
205,1,811,3,0
206,1,283,2,0
207,1,695,3,0
208,1,831,9,0
209,1,192,3,0
210,1,627,9,1
211,1,695,9,0
212,1,387,6,1
213,0,178,3,0
214,1,507,8,0
215,0,411,5,0
216,1,413,3,0
217,1,397,10,0
218,1,813,5,0
219,1,475,8,0
220,1,444,1,0
221,0,681,9,0
222,1,451,7,0
223,1,488,4,0
224,1,130,4,0
225,1,607,2,0
226,1,184,7,0
227,1,758,5,0
228,1,677,5,0
229,1,126,9,0
230,1,877,4,0
231,1,757,9,1
232,1,636,7,0
233,0,593,3,0
234,1,204,2,0
235,1,461,8,1
236,1,405,2,0
237,0,283,6,0
238,1,582,7,0
239,1,572,6,0
240,1,791,3,0
241,1,972,2,0
242,1,776,8,0
243,1,507,10,0
244,1,300,6,0
245,0,176,8,0
246,1,276,4,1
247,1,764,1,0
248,1,713,4,0
249,1,716,10,0
250,1,165,8,0
251,1,700,6,0
252,1,428,4,0
253,1,418,6,0
254,1,929,9,0
255,1,685,1,0
256,1,536,3,0
257,1,650,10,0
258,1,686,9,0
259,1,652,1,0
260,1,590,1,1
261,1,389,2,0
262,1,801,1,0
263,0,901,5,0
264,1,800,1,0
265,0,236,3,0
266,1,333,3,0
267,1,196,3,0
268,1,620,3,0
269,0,591,1,0
270,1,403,10,1
271,1,413,6,0
272,1,370,1,0
273,1,815,7,0
274,1,794,5,1
275,1,308,5,0
276,0,924,1,0
277,1,722,6,0
278,1,899,9,0
279,1,968,10,0
280,0,495,7,0
281,1,291,2,0
282,0,796,9,0
283,1,475,4,0
284,1,478,5,0
285,1,215,5,0
286,1,202,4,0
287,1,930,6,0
288,0,199,1,0
289,1,847,9,0
290,1,915,2,0
291,0,699,3,0
292,1,452,10,0
293,1,151,8,0
294,1,916,7,0
295,1,596,10,0
296,1,958,9,0
297,1,493,2,0
298,1,167,3,0
299,1,392,3,0
300,1,246,1,0
301,1,388,1,0
302,0,157,3,1
303,1,273,5,0
304,1,333,2,0
305,1,570,6,0
306,1,826,6,0
307,1,185,7,0
308,1,545,6,1
309,1,369,4,0
310,1,848,3,0
311,0,768,3,0
312,1,354,3,0
313,1,173,4,0
314,0,508,7,0
315,0,362,8,0
316,1,245,7,0
317,1,515,8,0
318,0,334,2,0
319,0,642,9,0
320,1,462,1,0
321,1,659,9,0
322,1,320,5,0
323,1,789,10,0
324,1,693,6,0
325,1,681,7,0
326,1,264,9,0
327,0,260,2,0
328,1,277,4,0
329,1,888,8,0
330,1,804,4,0
331,1,178,7,1
332,1,271,7,0
333,1,102,1,0
334,0,328,10,1
335,1,823,7,0
336,1,449,6,0
337,1,418,4,0
338,1,953,6,0
339,1,277,3,0
340,1,477,3,0
341,1,274,3,0
342,1,556,7,0
343,1,315,1,0
344,1,264,8,0
345,1,793,5,0
346,1,840,8,0
347,0,990,3,1
348,1,142,7,0
349,1,875,6,0
350,1,623,7,0
351,1,979,10,1
352,1,605,6,0
353,1,294,8,0
354,1,407,1,0
355,1,802,7,0
356,1,947,3,0
357,0,519,8,1
358,1,239,6,0
359,1,869,1,0
360,1,292,4,0
361,1,514,8,0
362,1,970,6,0
363,1,136,4,0
364,1,843,5,0
365,1,168,6,0
366,1,668,1,0
367,1,164,2,1
368,1,273,4,0
369,1,685,8,0
370,1,144,9,0
371,1,349,5,1
372,1,522,7,0
373,1,449,7,0
374,1,892,6,0
375,1,592,10,0
376,1,404,3,0
377,1,757,8,1
378,0,905,4,0
379,1,420,5,0
380,1,714,8,0
381,1,143,7,0
382,1,830,9,1
383,1,787,5,0
384,1,205,8,0
385,1,290,3,0
386,1,368,2,0
387,1,855,2,0
388,1,539,2,0
389,1,286,8,0
390,1,993,1,0
391,1,309,7,0
392,1,878,1,0
393,1,420,3,0
394,1,553,10,0
395,1,484,10,0
396,1,360,2,0
397,1,399,5,1
398,1,249,10,0
399,1,107,2,0
400,1,992,1,0
401,1,832,10,1
402,1,948,6,1
403,1,276,2,0
404,1,875,7,0
405,1,527,9,0
406,1,465,8,0
407,1,622,6,0
408,1,221,1,0
409,1,350,4,0
410,1,383,6,0
411,0,369,10,1
412,0,587,4,0
413,1,540,9,0
414,0,685,4,0
415,1,507,1,0
416,1,269,7,0
417,1,965,7,1
418,1,997,8,0
419,0,805,5,0
420,1,757,6,0
421,1,378,9,0
422,0,275,4,0
423,1,403,10,0
424,1,238,8,1
425,1,524,7,0
426,1,453,4,0
427,1,225,3,0
428,1,681,7,0
429,0,452,7,1
430,1,795,3,1
431,1,360,4,0
432,1,116,3,0
433,1,553,3,0
434,1,677,8,0
435,1,843,6,0
436,0,342,9,1
437,1,276,5,0
438,1,684,4,0
439,1,217,5,0
440,1,998,10,0
441,1,460,7,0
442,1,975,2,0
443,1,250,7,0
444,1,553,4,0
445,1,136,1,0
446,1,379,9,1
447,1,616,3,0
448,1,933,9,0
449,1,913,4,0
450,0,946,1,0
451,1,858,3,0
452,1,430,8,0
453,1,404,3,0
454,0,333,2,1
455,1,151,2,0
456,0,660,4,0
457,1,499,10,0
458,1,533,7,0
459,1,939,4,1
460,1,108,4,0
461,1,289,9,1
462,1,674,8,0
463,1,559,4,0
464,1,438,5,0
465,1,195,5,0
466,0,313,4,0
467,0,903,2,0
468,1,501,8,1
469,1,629,6,1
470,1,383,8,0
471,1,591,9,0
472,1,374,9,0
473,1,955,6,0
474,1,564,2,0
475,1,883,10,0
476,1,457,3,0
477,1,653,8,0
478,1,762,4,0
479,1,724,3,0
480,1,928,6,1
481,1,753,10,0
482,1,743,4,0
483,1,959,2,0
484,1,860,9,0
485,0,505,7,0
486,1,136,6,0
487,1,373,3,0
488,1,133,2,0
489,1,487,3,0
490,1,511,10,0
491,1,687,4,0
492,1,313,5,0
493,1,735,1,0
494,1,571,4,0
495,1,724,7,0
496,1,140,1,0
497,1,779,8,0
498,1,940,8,0
499,1,197,6,1
500,1,385,1,1
501,1,921,10,0
502,1,673,6,0
503,1,819,10,0
504,1,271,4,0
505,1,787,4,0
506,1,712,9,0
507,1,596,8,0
508,1,309,1,0
509,1,617,8,0
510,1,301,1,0
511,1,206,6,0
512,1,772,6,0
513,0,945,5,0
514,1,638,8,0
515,1,959,10,0
516,1,604,2,0
517,0,525,9,0
518,1,876,2,0
519,0,315,5,0
520,1,520,5,0
521,1,545,8,0
522,1,247,5,0
523,1,571,7,0
524,1,344,1,0
525,1,498,10,0
526,0,982,9,0
527,1,772,4,0
528,1,799,1,0
529,1,538,6,0
530,1,381,1,0
531,1,417,9,0
532,1,281,8,0
533,1,640,4,0
534,0,767,3,0
535,1,930,7,0
536,1,449,6,1
537,1,534,6,0
538,1,882,4,0
539,1,522,1,0
540,1,106,4,0
541,0,701,4,0
542,1,333,1,0
543,1,193,10,1
544,1,426,3,0
545,1,605,6,0
546,1,586,3,0
547,1,420,3,0
548,1,596,2,0
549,1,457,1,1
550,1,984,4,1
551,0,124,10,0
552,1,235,2,0
553,1,481,2,0
554,1,539,9,0
555,1,208,4,0
556,0,961,3,0
557,0,637,2,0
558,1,746,6,0
559,1,614,10,0
560,1,161,3,0
561,1,404,2,1
562,1,345,1,0
563,1,536,2,1
564,1,790,7,0
565,1,734,4,1
566,1,761,8,0
567,1,910,6,0
568,1,954,7,0
569,1,744,6,0
570,1,601,8,0
571,1,529,4,1
572,1,123,5,0
573,1,652,8,0
574,1,465,5,0
575,1,667,10,0
576,1,568,10,0
577,1,353,8,0
578,1,269,6,0
579,1,987,4,0
580,1,537,4,0
581,1,337,3,0
582,1,853,4,0
583,1,183,1,0
584,1,238,8,0
585,0,663,1,0
586,1,255,7,0
587,1,857,10,0
588,0,779,4,0
589,0,223,1,0
590,1,233,2,0
591,1,557,4,0
592,1,375,3,0
593,1,338,6,0
594,1,137,2,0
595,1,260,5,0
596,1,407,3,0
597,0,312,1,0
598,1,492,5,0
599,1,869,8,0
600,1,117,7,0
601,1,233,7,0
602,1,381,3,1
603,1,453,5,0
604,1,272,1,0
605,1,232,6,0
606,1,873,1,0
607,1,493,1,0
608,1,470,2,0
609,1,608,5,0
610,1,717,4,0
611,1,748,4,0
612,1,532,1,0
613,1,492,5,0
614,1,455,6,1
615,1,232,4,0
616,1,362,1,0
617,1,423,6,0
618,1,183,2,0
619,1,308,4,0
620,1,375,2,0
621,1,345,5,1
622,1,263,5,0
623,1,628,8,0
624,1,117,7,1
625,1,436,7,0
626,1,349,6,0
627,1,736,2,0
628,1,519,3,1
629,1,198,7,0
630,1,117,5,0
631,1,256,10,0
632,1,235,6,0
633,1,659,4,0
634,1,650,6,0
635,1,453,8,0
636,1,296,4,0
637,1,287,9,0
638,1,352,3,0
639,0,116,3,0
640,1,939,10,0
641,1,572,4,0
642,0,442,4,0
643,1,100,9,0
644,0,397,1,0
645,0,182,10,0
646,1,273,9,0
647,1,351,6,1
648,1,473,10,0
649,1,125,6,0
650,1,179,4,0
651,0,754,7,1
652,1,541,6,0
653,1,421,3,0
654,0,980,10,0
655,1,868,7,0
656,1,548,3,0
657,1,305,8,0
658,1,175,2,1
659,1,639,9,0
660,1,221,6,0
661,1,357,8,0
662,1,611,6,0
663,1,848,9,0
664,1,985,9,0
665,1,623,5,0
666,1,776,5,0
667,1,471,10,0
668,1,158,7,0
669,1,636,3,0
670,1,178,6,0
671,1,617,4,0
672,1,217,2,0
673,1,515,5,0
674,1,330,9,0
675,1,940,6,0
676,1,920,1,1
677,1,590,9,0
678,1,849,10,1
679,1,566,3,1
680,1,938,3,0
681,1,135,1,0
682,1,923,5,0
683,1,112,8,0
684,1,908,4,0
685,1,386,8,0
686,1,819,1,0
687,1,383,6,0
688,1,968,10,0
689,1,689,9,0
690,1,453,8,0
691,1,603,8,0
692,1,980,5,0
693,1,412,4,0
694,1,363,9,0
695,1,427,10,0
696,1,634,4,0
697,1,571,10,0
698,0,851,3,0
699,1,459,4,0
700,1,927,9,0
701,1,615,10,0
702,1,332,5,0
703,1,933,8,0
704,1,748,1,0
705,1,680,7,0
706,1,616,8,0
707,1,954,5,0
708,1,431,2,0
709,1,393,2,0
710,1,780,9,1
711,1,515,2,0
712,1,296,5,0
713,1,907,6,0
714,1,459,2,0
715,0,786,10,0
716,1,276,2,0
717,1,205,3,0
718,1,904,4,0
719,1,716,8,0
720,1,193,7,0
721,1,730,3,0
722,0,237,2,0
723,1,675,4,1
724,1,887,4,0
725,1,884,2,1
726,1,908,6,0
727,1,311,2,0
728,1,751,10,0
729,1,512,2,0
730,1,969,3,1
731,1,590,2,0
732,1,593,10,0
733,1,237,10,0
734,0,900,5,0
735,0,581,1,0
736,1,367,8,1
737,1,179,10,0
738,1,436,1,0
739,1,109,7,0
740,1,717,9,0
741,1,368,1,0
742,1,933,6,0
743,1,387,9,0
744,1,715,1,0
745,1,447,1,0
746,0,327,4,0
747,1,546,1,0
748,1,163,3,0
749,0,795,7,1
750,1,380,10,0
751,1,379,7,0
752,0,728,9,0
753,0,206,4,0
754,1,924,3,1
755,1,738,2,0
756,1,176,8,0
757,1,279,1,0
758,1,514,6,1
759,1,431,10,0
760,1,102,2,0
761,1,589,6,0
762,1,977,9,1
763,1,165,3,0
764,1,506,4,0
765,1,839,9,0
766,1,485,8,0
767,0,706,6,0
768,1,347,6,0
769,1,969,10,0
770,1,291,6,0
771,1,570,3,0
772,1,169,2,0
773,1,812,5,0
774,1,888,9,0
775,0,202,6,0
776,1,262,8,0
777,1,345,2,0
778,1,549,8,0
779,1,845,6,0
780,1,838,2,0
781,1,672,3,0
782,1,658,2,0
783,1,331,10,0
784,1,607,9,0
785,1,110,8,0
786,1,472,2,1
787,1,886,4,0
788,1,990,2,0
789,1,504,8,0
790,1,795,4,0
791,1,725,2,0
792,0,990,3,0
793,1,578,7,0
794,1,993,3,0
795,1,102,10,0
796,1,143,4,0
797,1,804,8,0
798,1,689,5,1
799,1,533,9,1
800,1,732,9,1
801,1,781,10,0
802,1,181,2,1
803,1,586,2,1
804,1,232,2,0
805,1,246,7,0
806,1,875,9,0
807,1,231,7,0
808,1,194,4,0
809,1,544,6,1
810,1,229,10,0
811,1,620,10,0
812,0,132,3,0
813,1,383,10,0
814,1,664,9,0
815,1,722,6,0
816,1,612,3,0
817,1,617,5,0
818,1,596,8,0
819,1,275,8,0
820,1,503,4,0
821,1,843,2,1
822,1,248,2,0
823,1,226,3,0
824,1,639,8,0
825,1,156,7,0
826,1,848,3,1
827,1,761,10,0
828,1,990,6,0
829,0,478,8,0
830,1,152,2,0
831,1,577,4,0
832,0,458,3,0
833,1,248,8,0
834,1,385,8,1
835,1,401,2,1
836,1,591,3,0
837,1,758,1,0
838,1,458,6,0
839,1,873,2,0
840,1,754,8,0
841,1,514,10,0
842,1,703,9,0
843,1,668,9,0
844,1,229,7,0
845,1,938,8,0
846,1,150,5,0
847,1,179,8,0
848,0,213,8,0
849,1,782,6,0
850,1,860,2,0
851,1,387,8,0
852,0,231,6,0
853,0,147,4,0
854,1,288,8,0
855,1,189,6,0
856,1,679,10,0
857,1,732,3,0
858,1,991,1,0
859,1,423,7,1
860,1,404,3,0
861,0,611,6,0
862,1,555,2,0
863,1,840,2,0
864,1,792,9,0
865,1,136,8,0
866,1,991,2,0
867,1,252,9,0
868,1,452,3,0
869,1,362,9,1
870,1,593,3,0
871,1,633,6,0
872,1,486,6,0
873,1,883,10,0
874,1,417,9,0
875,1,718,7,0
876,1,337,7,1
877,1,471,3,0
878,1,523,10,0
879,1,651,5,1
880,1,819,4,0
881,1,302,5,1
882,1,169,5,0
883,1,719,2,0
884,1,561,4,0
885,1,241,9,0
886,1,327,9,0
887,1,659,3,1
888,1,359,8,0
889,1,873,10,1
890,1,966,8,0
891,1,606,1,0
892,1,835,3,0
893,1,338,10,0
894,1,312,6,0
895,1,616,2,0
896,0,241,2,0
897,0,745,8,0
898,0,393,9,0
899,0,695,6,0
900,1,917,6,0
901,1,567,10,0
902,1,746,9,1
903,1,931,1,0
904,1,144,7,0
905,1,652,1,0
906,1,268,9,0
907,1,920,7,0
908,1,965,8,1
909,1,267,2,0
910,1,154,3,1
911,1,337,10,0
912,1,740,7,0
913,1,926,8,0
914,1,405,1,0
915,1,803,8,0
916,1,267,9,1
917,1,447,4,0
918,1,633,1,0
919,1,650,8,0
920,1,145,2,0
921,1,124,7,0
922,1,730,7,0
923,1,997,9,0
924,1,854,8,0
925,0,811,1,0
926,1,401,5,0
927,0,249,7,0
928,1,270,3,0
929,1,204,7,0
930,1,725,6,0
931,1,336,4,0
932,1,648,8,0
933,1,408,1,0
934,1,558,5,0
935,0,265,6,0
936,1,505,10,0
937,1,428,1,0
938,1,140,7,0
939,1,142,3,0
940,1,165,4,0
941,1,197,1,0
942,0,455,1,0
943,1,615,4,0
944,1,127,2,0
945,1,451,6,0
946,1,985,1,0
947,1,660,2,0
948,1,687,10,0
949,1,744,3,0
950,1,168,1,0
951,1,936,9,0
952,1,956,3,0
953,1,308,3,1
954,1,546,3,0
955,0,493,8,0
956,0,809,6,0
957,1,952,2,1
958,1,338,3,0
959,1,178,7,0
960,1,209,10,0
961,1,370,2,1
962,1,812,4,0
963,1,655,8,1
964,0,298,5,0
965,1,269,3,0
966,1,789,3,1
967,1,904,5,0
968,1,153,1,0
969,1,509,10,0
970,1,847,4,0
971,1,595,7,1
972,1,156,7,0
973,1,361,2,0
974,1,785,1,0
975,1,769,6,0
976,1,249,1,0
977,1,652,9,0
978,1,537,9,0
979,1,779,5,0
980,1,703,1,0
981,0,854,3,0
982,1,441,4,0
983,1,331,5,0
984,1,226,6,0
985,1,419,7,0
986,1,727,7,0
987,1,653,6,0
988,1,600,3,0
989,1,924,10,0
990,1,223,8,0
991,1,275,1,0
992,0,555,9,1
993,1,937,6,0
994,0,254,7,0
995,1,364,8,0
996,1,443,5,0
997,0,570,2,0
998,1,919,9,0
999,1,449,4,0
1000,0,875,8,0
1001,1,118,4,0
1002,1,406,9,0
1003,1,720,7,0
1004,1,118,3,0
1005,1,114,7,0
1006,1,584,2,0
1007,1,620,8,0
1008,1,976,3,1
1009,1,364,1,0
1010,1,982,7,0
1011,1,811,7,0
1012,1,405,1,0
1013,1,289,3,0
1014,1,302,5,0
1015,1,703,8,0
1016,1,724,10,0
1017,1,728,2,0
1018,1,314,6,0
1019,1,334,7,0
1020,1,485,1,0
1021,1,106,2,0
1022,0,156,9,0
1023,1,187,1,0
1024,0,796,7,1
1025,1,350,9,0
1026,1,884,7,0
1027,0,663,4,1
1028,1,783,10,0
1029,1,616,4,0
1030,1,611,1,0
1031,1,462,1,0
1032,1,113,8,0
1033,1,100,9,0
1034,1,387,1,1
1035,1,752,6,0
1036,1,804,8,0
1037,1,678,3,0
1038,1,224,10,0
1039,1,379,8,0
1040,1,719,9,0
1041,1,339,8,0
1042,1,773,9,0
1043,1,972,2,0
1044,1,269,5,0
1045,1,589,5,0
1046,1,885,10,0
1047,1,892,6,1
1048,1,817,7,0
1049,1,517,6,0
1050,1,242,8,0
1051,1,207,3,0
1052,1,533,6,0
1053,1,426,6,0
1054,1,680,8,0
1055,1,361,9,0
1056,1,628,1,0
1057,1,513,5,0
1058,1,884,10,0
1059,1,646,7,0
1060,0,558,4,0
1061,1,771,1,0
1062,1,438,1,0
1063,1,619,5,0
1064,0,927,5,0
1065,1,905,7,0
1066,0,945,7,0
1067,1,838,1,0
1068,1,502,3,0
1069,1,301,5,0
1070,1,327,10,0
1071,1,925,8,0
1072,1,459,8,0
1073,1,620,3,0
1074,0,731,1,0
1075,0,550,2,0
1076,1,520,3,0
1077,1,953,8,0
1078,0,400,8,0
1079,1,200,8,0
1080,1,892,3,0
1081,1,495,7,0
1082,1,367,8,0
1083,1,900,5,1
1084,1,384,5,0
1085,1,233,6,0
1086,1,327,10,0
1087,1,196,6,0
1088,1,894,7,0
1089,0,444,7,0
1090,1,479,5,0
1091,1,108,5,0
1092,1,209,1,0
1093,1,489,5,0
1094,1,257,4,0
1095,1,508,8,0
1096,1,445,2,0
1097,1,879,4,0
1098,1,736,3,0
1099,0,391,10,0
1100,1,231,6,0
1101,1,182,7,0
1102,0,619,4,0
1103,1,183,5,0
1104,1,293,3,0
1105,1,787,3,0
1106,1,549,4,0
1107,1,382,5,0
1108,0,729,9,0
1109,1,555,7,0
1110,1,392,8,0
1111,1,364,6,0
1112,1,959,5,0
1113,1,373,10,0
1114,1,137,6,0
1115,1,476,1,0
1116,0,304,6,0
1117,1,237,10,0
1118,1,872,6,0
1119,1,194,7,0
1120,1,511,10,0
1121,1,925,2,0
1122,1,221,8,0
1123,1,259,5,0
1124,1,509,2,0
1125,1,401,6,0
1126,1,678,8,0
1127,1,226,5,0
1128,1,307,10,0
1129,1,222,8,0
1130,1,270,6,0
1131,0,750,5,0
1132,1,722,2,0
1133,1,450,8,1
1134,1,811,3,0
1135,0,210,6,1
1136,1,222,1,0
1137,1,564,1,0
1138,1,898,5,0
1139,1,806,6,0
1140,1,869,6,0
1141,1,911,10,0
1142,1,334,9,0
1143,1,873,7,0
1144,1,720,8,0
1145,1,548,8,0
1146,1,607,2,0
1147,1,870,5,0
1148,1,315,6,0
1149,1,739,2,0
1150,1,426,4,0
1151,1,730,6,1
1152,1,376,5,0
1153,1,942,2,0
1154,0,814,8,0
1155,1,213,5,0
1156,1,376,1,0
1157,1,135,1,0
1158,0,673,2,0
1159,1,381,4,0
1160,0,439,7,0
1161,1,836,1,1
1162,1,800,8,0
1163,1,155,5,0
1164,1,854,6,0
1165,1,727,1,1
1166,1,267,9,1
1167,1,631,6,0
1168,1,222,10,0
1169,1,363,4,0
1170,1,612,3,0
1171,1,678,2,0
1172,1,625,9,0
1173,1,568,3,0
1174,1,504,10,0
1175,1,505,1,0
1176,1,151,4,0
1177,1,714,3,0
1178,1,517,6,0
1179,1,557,4,0
1180,1,576,7,0
1181,1,172,2,0
1182,1,820,7,0
1183,1,798,2,0
1184,1,142,10,1
1185,1,972,1,0
1186,1,908,7,0
1187,1,558,7,0
1188,1,840,6,1
1189,1,681,4,0
1190,1,990,9,0
1191,1,813,7,0
1192,1,209,3,1
1193,1,412,7,0
1194,1,888,10,0
1195,1,734,9,0
1196,1,981,10,0
1197,1,772,6,0
1198,1,669,8,0
1199,1,399,3,0
1200,1,315,1,1
1201,1,919,6,0
1202,1,935,5,0
1203,1,609,6,0
1204,1,524,10,1
1205,1,458,4,0
1206,1,451,6,0
1207,1,829,2,0
1208,1,138,1,0
1209,1,387,2,0
1210,1,111,9,0
1211,1,536,9,0
1212,1,748,3,0
1213,1,576,1,0
1214,1,165,3,0
1215,1,184,4,0
1216,1,614,2,0
1217,1,882,7,0
1218,1,730,8,0
1219,1,171,4,0
1220,1,158,6,0
1221,1,139,10,0
1222,1,684,7,0
1223,0,839,8,0
1224,1,377,2,0
1225,1,389,5,0
1226,1,136,8,0
1227,1,333,6,0
1228,1,115,8,0
1229,1,717,8,0
1230,1,388,10,0
1231,1,113,1,0
1232,1,724,1,0
1233,1,234,5,0
1234,1,698,5,0
1235,1,857,7,0
1236,1,914,1,0
1237,1,459,4,0
1238,1,335,5,0
1239,1,811,2,0
1240,0,183,9,0
1241,0,193,10,0
1242,1,883,2,0
1243,1,837,8,0
1244,1,487,1,0
1245,0,206,3,0
1246,1,284,10,0
1247,1,544,3,0
1248,1,814,7,0
1249,1,206,10,0
1250,1,694,2,0
1251,0,725,6,0
1252,1,343,8,0
1253,1,362,8,0
1254,1,363,8,0
1255,1,730,5,0
1256,1,742,1,0
1257,1,621,6,0
1258,1,854,9,0
1259,1,636,1,0
1260,1,187,1,0
1261,1,745,9,0
1262,1,947,3,0
1263,0,368,5,1
1264,1,521,5,0
1265,0,413,5,0
1266,1,520,2,0
1267,1,837,1,0
1268,1,978,4,0
1269,1,170,10,0
1270,1,899,10,0
1271,1,834,6,0
1272,1,131,4,1
1273,1,299,8,0
1274,1,764,9,0
1275,1,418,2,0
1276,1,472,6,0
1277,1,484,8,0
1278,1,606,3,0
1279,1,398,7,1
1280,1,248,8,0
1281,1,536,2,0
1282,1,477,4,0
1283,1,313,3,0
1284,0,158,3,0
1285,1,669,2,0
1286,1,667,10,0
1287,1,963,7,1
1288,1,262,6,0
1289,1,304,3,0
1290,1,634,2,0
1291,1,742,9,0
1292,1,523,8,0
1293,1,239,2,0
1294,1,485,8,0
1295,1,169,8,0
1296,1,166,3,1
1297,1,663,1,0
1298,1,428,4,0
1299,1,173,9,0
1300,1,260,6,0
1301,1,710,4,0
1302,1,236,10,0
1303,1,418,2,0
1304,1,637,7,0
1305,0,766,2,0
1306,1,391,10,0
1307,1,943,7,0
1308,1,712,2,0
1309,0,845,5,0
1310,1,529,1,0
1311,1,588,10,0
1312,1,570,8,0
1313,1,203,10,1
1314,1,568,6,0
1315,1,422,10,0
1316,0,266,4,1
1317,1,959,8,0
1318,1,773,5,0
1319,1,364,2,0
1320,1,831,8,0
1321,1,188,4,0
1322,1,738,8,0
1323,1,294,9,0
1324,1,822,2,0
1325,1,821,1,0
1326,0,180,2,0
1327,1,768,8,0
1328,1,443,7,0
1329,1,444,9,1
1330,1,976,5,0
1331,1,968,10,0
1332,1,972,3,0
1333,1,797,3,0
1334,0,540,9,0
1335,1,967,8,0
1336,1,683,1,0
1337,1,643,2,0
1338,1,444,10,1
1339,0,147,5,0
1340,1,546,8,0
1341,1,200,10,0
1342,1,586,4,0
1343,1,155,7,0
1344,1,798,7,0
1345,1,404,10,0
1346,1,789,7,0
1347,1,910,9,0
1348,1,942,10,0
1349,1,643,7,0
1350,1,372,3,0
1351,1,382,3,1
1352,1,476,6,0
1353,1,226,2,0
1354,1,910,2,0
1355,0,633,4,0
1356,1,215,10,0
1357,1,280,3,0
1358,1,833,5,0
